message,toxicity,context_score,context_type,label
reported for being bad,0.831,0.565,team_chat,1
wait for team,0.056,0.623,team_chat,0
nice try!,0.199,0.504,team_chat,0
good game everyone,0.041,0.652,competitive,0
i'll kill you,0.462,0.271,casual,0
uninstall you monkey,0.901,0.305,team_chat,1
great teamwork guys,0.174,0.837,all_chat,0
your family must be ashamed,0.962,0.809,competitive,1
enemy spotted,0.05,0.658,all_chat,0
pathetic loser,0.889,0.484,casual,1
why so serious,0.249,0.338,pvp_combat,0
follow me,0.09,0.712,competitive,0
you're throwing the game,0.945,0.695,all_chat,1
that was fun,0.076,0.501,post_game,0
good luck have fun,0.149,0.433,team_chat,0
you're useless,0.904,0.62,all_chat,1
thanks for the game,0.051,0.541,team_chat,0
die in a fire,0.76,0.602,all_chat,1
nice kill,0.022,0.633,post_game,0
worst player ever,0.956,0.148,casual,1
let's try again,0.098,0.022,pvp_combat,0
pathetic loser,0.861,0.469,casual,1
add me as friend,0.112,0.915,competitive,0
uninstall you monkey,0.95,0.505,all_chat,1
uninstall you monkey,0.925,0.785,competitive,1
get rekt,0.743,0.699,all_chat,1
almost had it,0.163,0.187,casual,0
you're a waste of space,0.997,0.838,all_chat,1
uninstall you monkey,0.71,0.387,pvp_combat,1
add me as friend,0.075,0.179,casual,0
stop feeding moron,0.94,0.526,all_chat,1
good defense,0.04,0.464,casual,0
rematch?,0.016,0.73,all_chat,0
camper noob,0.671,0.313,team_chat,1
smashed you,0.692,0.754,competitive,1
uninstall you monkey,0.707,0.194,casual,1
go back to tutorial,0.746,0.343,team_chat,1
i'll help you,0.007,0.126,pvp_combat,0
wait for team,0.128,0.117,pvp_combat,0
you're dead,0.778,0.458,post_game,1
let's try again,0.121,0.387,casual,0
stop camping,0.573,0.666,competitive,1
rematch?,0.116,0.576,all_chat,0
thanks for the game,0.143,0.43,post_game,0
great teamwork guys,0.053,0.356,team_chat,0
you're trash,0.887,0.505,all_chat,1
your family must be ashamed,0.824,0.639,all_chat,1
absolute garbage player,0.99,0.467,post_game,1
need backup,0.179,0.112,casual,0
nice hacks,0.758,0.967,competitive,1
stop camping,0.46,0.149,casual,0
add me as friend,0.067,0.251,casual,0
die in a fire,0.829,0.786,post_game,1
good luck have fun,0.119,0.968,competitive,0
kill yourself,0.792,0.82,competitive,1
thanks for the game,0.127,0.565,all_chat,0
need backup,0.107,0.637,post_game,0
reported for being bad,0.826,0.966,competitive,1
that was fun,0.187,0.36,pvp_combat,0
delete this game idiot,0.856,0.664,competitive,1
enemy spotted,0.117,0.36,pvp_combat,0
that was fun,0.074,0.134,casual,0
i hope you get banned,0.762,0.532,post_game,1
we can do this,0.153,0.647,post_game,0
you got lucky,0.677,0.525,all_chat,1
sit down,0.4,0.377,casual,0
nice hacks,0.258,0.223,pvp_combat,0
stop camping,0.69,0.434,post_game,1
rematch?,0.181,0.432,post_game,0
i'll help you,0.079,0.843,all_chat,0
add me as friend,0.07,0.127,casual,0
watch out behind you,0.017,0.704,competitive,0
camper noob,0.598,0.612,team_chat,1
enemy spotted,0.023,0.647,all_chat,0
cover me please,0.138,0.197,casual,0
kill yourself,0.934,0.289,pvp_combat,1
you got lucky,0.63,0.922,competitive,1
absolute garbage player,0.855,0.546,team_chat,1
uninstall you monkey,0.927,0.004,pvp_combat,1
get cancer,0.819,0.003,pvp_combat,1
watch out behind you,0.119,0.02,pvp_combat,0
owned,0.283,0.048,pvp_combat,0
your family must be ashamed,0.886,0.124,casual,1
uninstall you monkey,0.778,0.705,competitive,1
destroyed you,0.674,0.898,competitive,1
you suck so bad,0.785,0.586,team_chat,1
let's try again,0.178,0.593,team_chat,0
nice shot!,0.054,0.685,post_game,0
how are you this bad,0.75,0.119,pvp_combat,1
that was fun,0.049,0.563,all_chat,0
nice try!,0.081,0.422,team_chat,0
nice try!,0.084,0.389,pvp_combat,0
delete this game idiot,0.726,0.812,all_chat,1
good game everyone,0.135,0.828,all_chat,0
follow me,0.039,0.64,all_chat,0
trash team,0.745,0.071,pvp_combat,1
we can do this,0.092,0.768,all_chat,0
owned,0.781,0.852,all_chat,1
stupid noob,0.961,0.365,team_chat,1
glhf everyone,0.036,0.442,team_chat,0
you got lucky,0.74,0.648,post_game,1
too easy,0.293,0.192,pvp_combat,0
reported,0.789,0.671,post_game,1
great teamwork guys,0.038,0.525,post_game,0
good defense,0.016,0.274,casual,0
lets push together,0.065,0.348,pvp_combat,0
lets push together,0.106,1.0,competitive,0
brain dead player,0.812,0.778,competitive,1
destroyed you,0.58,0.686,competitive,1
you're retarded,0.775,0.451,casual,1
destroyed you,0.32,0.057,pvp_combat,0
we can do this,0.148,0.79,all_chat,0
delete this game idiot,0.709,0.243,casual,1
glhf everyone,0.193,0.442,post_game,0
wait for team,0.127,0.177,pvp_combat,0
you're throwing the game,0.876,0.207,pvp_combat,1
kys noob,0.773,0.232,pvp_combat,1
wp wp,0.188,0.252,casual,0
cheater,0.448,0.313,casual,0
almost had it,0.17,0.063,pvp_combat,0
end your life,0.727,0.155,pvp_combat,1
i'll help you,0.199,0.394,pvp_combat,0
i'll help you,0.029,0.669,team_chat,0
almost had it,0.038,0.38,pvp_combat,0
die in a fire,0.729,0.234,casual,1
stop feeding moron,0.835,0.481,team_chat,1
sit down,0.255,0.314,casual,0
nice play,0.055,0.132,pvp_combat,0
i'll help you,0.12,0.343,casual,0
nice hacks,0.224,0.11,pvp_combat,0
nice save,0.147,0.489,casual,0
nice shot!,0.064,0.326,team_chat,0
add me as friend,0.032,0.621,team_chat,0
nice hacks,0.622,0.506,team_chat,1
get rekt,0.749,0.845,competitive,1
reported for being bad,0.721,0.274,pvp_combat,1
you don't deserve to play,0.888,0.295,pvp_combat,1
lets push together,0.005,0.829,competitive,0
we can do this,0.151,0.138,pvp_combat,0
let's try again,0.1,0.787,competitive,0
thanks for heal,0.151,0.557,team_chat,0
lets push together,0.09,0.037,pvp_combat,0
need backup,0.127,0.546,team_chat,0
smashed you,0.553,0.763,all_chat,1
neck yourself,0.824,0.435,casual,1
nice try!,0.054,0.857,all_chat,0
brain dead player,0.71,0.37,pvp_combat,1
follow me,0.023,0.676,competitive,0
reported,0.217,0.015,pvp_combat,0
good call,0.07,0.588,team_chat,0
cheater,0.254,0.003,pvp_combat,0
how are you still alive,0.996,0.948,competitive,1
you're a waste of space,0.729,0.47,post_game,1
wait for team,0.112,0.79,post_game,0
that was fun,0.07,0.166,pvp_combat,0
nice save,0.107,0.751,all_chat,0
you're a waste of space,0.861,0.14,pvp_combat,1
worst player ever,0.852,0.727,post_game,1
kill yourself,0.919,0.984,competitive,1
you're trash,0.804,0.642,all_chat,1
gg well played team!,0.082,0.193,casual,0
wp wp,0.141,0.258,casual,0
you're useless,0.824,0.793,competitive,1
stupid noob,0.895,0.67,competitive,1
nice save,0.053,0.5,post_game,0
follow me,0.05,0.607,all_chat,0
that was close,0.016,0.832,all_chat,0
worst player ever,0.96,0.423,casual,1
cheater,0.547,0.625,post_game,1
wait for team,0.122,0.749,post_game,0
nice hacks,0.754,0.499,team_chat,1
too easy,0.582,0.565,all_chat,1
add me as friend,0.188,0.225,pvp_combat,0
brain dead player,0.794,0.217,casual,1
brain dead player,0.764,0.509,all_chat,1
almost had it,0.157,0.101,casual,0
we can do this,0.093,0.807,all_chat,0
i'll help you,0.09,0.473,post_game,0
that was fun,0.196,0.524,all_chat,0
owned,0.624,0.858,competitive,1
watch out behind you,0.118,0.47,team_chat,0
you're throwing the game,0.942,0.467,post_game,1
let's try again,0.063,0.648,post_game,0
nice shot!,0.074,0.166,casual,0
good call,0.102,0.113,pvp_combat,0
neck yourself,0.992,0.595,team_chat,1
absolute garbage player,0.9,0.489,team_chat,1
lets push together,0.178,0.64,team_chat,0
rematch?,0.176,0.789,competitive,0
great teamwork guys,0.105,0.377,team_chat,0
enemy spotted,0.091,0.601,all_chat,0
reported,0.226,0.369,casual,0
neck yourself,0.772,0.322,pvp_combat,1
get cancer,0.954,0.71,all_chat,1
i'll help you,0.019,0.167,casual,0
nice kill,0.005,0.271,casual,0
wp wp,0.011,0.667,competitive,0
tryhard,0.798,0.771,all_chat,1
cheater,0.667,0.782,all_chat,1
you're useless,0.884,0.229,pvp_combat,1
delete this game idiot,0.962,0.644,all_chat,1
glhf everyone,0.02,0.439,post_game,0
you're trash,0.866,0.657,competitive,1
too easy,0.561,0.46,post_game,1
how are you still alive,0.894,0.657,competitive,1
neck yourself,0.819,0.042,pvp_combat,1
end your life,0.913,0.802,all_chat,1
almost had it,0.112,0.677,team_chat,0
kill yourself,0.738,0.341,pvp_combat,1
die in a fire,0.996,0.754,all_chat,1
uninstall the game noob,0.757,0.559,post_game,1
wp wp,0.162,0.624,competitive,0
stop camping,0.382,0.131,pvp_combat,0
glhf everyone,0.057,0.317,casual,0
wait for team,0.124,0.751,competitive,0
cover me please,0.074,0.812,competitive,0
good defense,0.163,0.49,casual,0
rematch?,0.064,0.692,team_chat,0
i'll help you,0.066,0.689,competitive,0
i hope you lose every game,0.797,0.636,competitive,1
lets push together,0.07,0.628,all_chat,0
hacker,0.676,0.329,team_chat,1
cover me please,0.021,0.456,post_game,0
good defense,0.121,0.075,pvp_combat,0
kys noob,0.909,0.366,casual,1
uninstall the game noob,0.838,0.355,team_chat,1
good game everyone,0.158,0.781,all_chat,0
watch out behind you,0.059,0.753,post_game,0
thanks for heal,0.109,0.745,all_chat,0
you're useless,0.84,0.308,casual,1
need backup,0.151,0.277,casual,0
good game everyone,0.166,0.352,team_chat,0
nice try!,0.019,0.629,post_game,0
reported for being bad,0.93,0.202,casual,1
almost had it,0.125,0.819,competitive,0
ez noob,0.523,0.584,post_game,1
that was close,0.037,0.548,post_game,0
nice shot!,0.135,0.462,team_chat,0
great teamwork guys,0.081,0.569,all_chat,0
nice save,0.182,0.999,competitive,0
add me as friend,0.197,0.043,pvp_combat,0
nice shot!,0.127,0.764,post_game,0
wait for team,0.116,0.47,casual,0
nice shot!,0.193,0.64,all_chat,0
that was close,0.137,0.442,team_chat,0
kys noob,0.791,0.56,post_game,1
how are you still alive,0.876,0.193,pvp_combat,1
reported for being bad,0.884,0.653,post_game,1
stupid noob,0.871,0.384,casual,1
i'll help you,0.084,0.391,casual,0
stupid noob,0.936,0.687,team_chat,1
owned,0.767,0.584,all_chat,1
reported,0.788,0.403,post_game,1
lets push together,0.042,0.621,all_chat,0
enemy spotted,0.023,0.36,casual,0
great teamwork guys,0.161,0.349,team_chat,0
sweaty player,0.731,0.688,competitive,1
end your life,0.895,0.15,pvp_combat,1
follow me,0.166,0.796,competitive,0
you're useless,0.715,0.322,team_chat,1
end your life,0.817,0.558,all_chat,1
kill yourself,0.769,0.453,post_game,1
need backup,0.148,0.737,all_chat,0
it's just a game,0.773,0.977,competitive,1
let's regroup,0.065,0.509,post_game,0
wp wp,0.078,0.335,casual,0
end your life,0.936,0.644,competitive,1
nice try!,0.107,0.44,casual,0
you got lucky,0.594,0.64,post_game,1
your family must be ashamed,0.742,0.262,pvp_combat,1
nice save,0.131,0.33,team_chat,0
rematch?,0.169,0.254,pvp_combat,0
almost had it,0.041,0.132,casual,0
good luck have fun,0.088,0.294,casual,0
get rekt,0.281,0.243,casual,0
let's regroup,0.026,0.631,all_chat,0
nice kill,0.061,0.379,casual,0
end your life,0.918,0.341,team_chat,1
kys noob,0.79,0.76,competitive,1
enemy spotted,0.121,0.459,team_chat,0
nice kill,0.076,0.198,pvp_combat,0
it's just a game,0.666,0.531,team_chat,1
good defense,0.018,0.35,casual,0
that was close,0.194,0.512,all_chat,0
i hope you get banned,0.74,0.54,team_chat,1
how are you still alive,0.801,0.089,pvp_combat,1
good defense,0.174,0.121,casual,0
sit down,0.598,0.642,post_game,1
need backup,0.011,0.421,team_chat,0
end your life,0.954,0.871,all_chat,1
good call,0.131,0.267,pvp_combat,0
trash team,0.836,0.947,competitive,1
good call,0.011,0.65,all_chat,0
cover me please,0.017,0.425,team_chat,0
kys noob,0.788,0.619,team_chat,1
that was close,0.125,0.38,casual,0
thanks for heal,0.001,0.391,pvp_combat,0
let's regroup,0.118,0.844,all_chat,0
stupid noob,0.857,0.603,competitive,1
how are you still alive,0.799,0.734,all_chat,1
good game everyone,0.058,0.746,post_game,0
let's regroup,0.092,0.389,pvp_combat,0
nice play,0.11,0.624,post_game,0
pathetic loser,0.742,0.754,competitive,1
you don't deserve to play,0.948,0.351,pvp_combat,1
you're throwing the game,0.967,0.393,team_chat,1
neck yourself,0.854,0.464,post_game,1
get cancer,0.931,0.531,post_game,1
neck yourself,0.843,0.306,pvp_combat,1
you're throwing the game,0.881,0.264,pvp_combat,1
nice save,0.159,0.669,post_game,0
smashed you,0.747,0.536,all_chat,1
great teamwork guys,0.005,0.5,team_chat,0
i'll kill you,0.382,0.487,casual,0
it's just a game,0.718,0.774,post_game,1
enemy spotted,0.059,0.377,team_chat,0
uninstall you monkey,0.827,0.209,pvp_combat,1
i'll help you,0.19,0.174,casual,0
gg well played team!,0.171,0.752,competitive,0
that was close,0.101,0.386,team_chat,0
absolute garbage player,0.853,0.546,post_game,1
you're useless,0.896,0.817,competitive,1
nice play,0.074,0.799,post_game,0
trash team,0.983,0.868,all_chat,1
cover me please,0.053,0.994,competitive,0
trash team,0.83,0.348,pvp_combat,1
nice shot!,0.075,0.127,pvp_combat,0
you're throwing the game,0.893,0.315,casual,1
that was close,0.018,0.041,pvp_combat,0
you're retarded,0.719,0.928,competitive,1
lets push together,0.037,0.996,competitive,0
nice hacks,0.566,0.604,team_chat,1
good call,0.036,0.332,team_chat,0
watch out behind you,0.058,0.189,pvp_combat,0
good game everyone,0.161,0.507,post_game,0
follow me,0.13,0.34,pvp_combat,0
let's regroup,0.016,0.893,all_chat,0
you got lucky,0.661,0.661,team_chat,1
delete this game idiot,0.938,0.648,competitive,1
uninstall you monkey,0.864,0.158,casual,1
wp wp,0.169,0.669,competitive,0
add me as friend,0.128,0.706,competitive,0
glhf everyone,0.184,0.623,team_chat,0
it's just a game,0.603,0.905,competitive,1
almost had it,0.141,0.699,team_chat,0
tryhard,0.536,0.624,competitive,1
follow me,0.185,0.408,casual,0
good call,0.172,0.377,team_chat,0
good call,0.111,0.316,pvp_combat,0
stop feeding moron,0.945,0.403,casual,1
watch out behind you,0.143,0.569,post_game,0
great teamwork guys,0.002,0.272,casual,0
lets push together,0.073,0.372,team_chat,0
cover me please,0.129,0.729,competitive,0
you're retarded,0.702,0.06,pvp_combat,1
absolute garbage player,0.713,0.324,team_chat,1
add me as friend,0.174,0.851,all_chat,0
delete this game idiot,0.973,0.16,casual,1
good luck have fun,0.048,0.019,pvp_combat,0
uninstall the game noob,0.766,0.493,post_game,1
good call,0.094,0.447,team_chat,0
ez noob,0.625,0.556,all_chat,1
nice play,0.063,0.214,pvp_combat,0
hacker,0.73,0.871,competitive,1
good call,0.041,0.622,team_chat,0
cheater,0.312,0.427,casual,0
neck yourself,0.713,0.43,casual,1
thanks for the game,0.095,0.303,team_chat,0
wait for team,0.116,0.589,team_chat,0
you're trash,0.94,0.662,competitive,1
cheater,0.627,0.997,competitive,1
tryhard,0.459,0.248,pvp_combat,0
wp wp,0.101,0.685,all_chat,0
that was fun,0.105,0.235,casual,0
owned,0.594,0.394,team_chat,1
camper noob,0.356,0.186,pvp_combat,0
good defense,0.019,0.185,pvp_combat,0
i hope you lose every game,0.969,0.684,all_chat,1
kys noob,0.973,0.374,casual,1
you're retarded,0.953,0.257,pvp_combat,1
let's try again,0.146,0.717,post_game,0
neck yourself,0.702,0.233,casual,1
i'll help you,0.15,0.338,team_chat,0
how are you this bad,0.779,0.04,pvp_combat,1
pathetic loser,0.868,0.558,post_game,1
nice shot!,0.151,0.061,pvp_combat,0
gg well played team!,0.195,0.92,competitive,0
neck yourself,0.98,0.937,competitive,1
good luck have fun,0.12,0.541,all_chat,0
good call,0.174,0.446,team_chat,0
get rekt,0.509,0.568,team_chat,1
good luck have fun,0.13,0.056,pvp_combat,0
need backup,0.136,0.051,pvp_combat,0
go back to tutorial,0.811,0.267,pvp_combat,1
add me as friend,0.026,0.604,all_chat,0
trash team,0.909,0.17,pvp_combat,1
great teamwork guys,0.028,0.236,pvp_combat,0
good call,0.162,0.41,post_game,0
add me as friend,0.112,0.768,all_chat,0
i'll kill you,0.686,0.763,post_game,1
die in a fire,0.984,0.9,competitive,1
enemy spotted,0.067,0.608,post_game,0
get rekt,0.621,0.938,competitive,1
nice play,0.015,0.118,pvp_combat,0
nice play,0.049,0.628,post_game,0
why so serious,0.562,0.634,competitive,1
good luck have fun,0.089,0.27,casual,0
i hope you lose every game,0.726,0.589,all_chat,1
delete this game idiot,0.887,0.706,competitive,1
reported for being bad,0.874,0.645,all_chat,1
your family must be ashamed,0.775,0.276,pvp_combat,1
you got lucky,0.236,0.298,pvp_combat,0
nice play,0.18,0.448,post_game,0
lets push together,0.163,0.906,competitive,0
thanks for heal,0.109,0.515,all_chat,0
you're a waste of space,0.947,0.104,casual,1
why so serious,0.424,0.184,casual,0
reported,0.585,0.588,all_chat,1
nice play,0.113,0.62,post_game,0
ez noob,0.525,0.598,post_game,1
that was fun,0.13,0.65,team_chat,0
nice save,0.148,0.407,post_game,0
almost had it,0.15,0.231,pvp_combat,0
thanks for the game,0.15,0.793,all_chat,0
enemy spotted,0.154,0.34,casual,0
nice kill,0.028,0.624,all_chat,0
thanks for heal,0.035,0.399,pvp_combat,0
end your life,0.877,0.627,post_game,1
follow me,0.144,0.991,competitive,0
you don't deserve to play,0.918,0.384,team_chat,1
delete this game idiot,0.894,0.337,pvp_combat,1
you suck so bad,0.738,0.427,team_chat,1
enemy spotted,0.152,0.64,all_chat,0
great teamwork guys,0.079,0.723,all_chat,0
nice save,0.077,0.196,casual,0
brain dead player,0.872,0.788,post_game,1
get rekt,0.639,0.789,competitive,1
follow me,0.092,0.315,pvp_combat,0
glhf everyone,0.143,0.524,all_chat,0
wp wp,0.063,0.225,pvp_combat,0
hacker,0.544,0.605,post_game,1
kys noob,0.86,0.627,post_game,1
that was close,0.117,0.372,casual,0
neck yourself,0.727,0.5,team_chat,1
you're retarded,0.966,0.291,pvp_combat,1
get rekt,0.769,0.778,all_chat,1
nice shot!,0.047,0.468,casual,0
uninstall the game noob,0.733,0.365,team_chat,1
neck yourself,0.812,0.512,post_game,1
you're dead,0.391,0.367,pvp_combat,0
end your life,0.881,0.215,casual,1
brain dead player,0.924,0.971,competitive,1
you're trash,0.877,0.349,team_chat,1
watch out behind you,0.191,0.498,post_game,0
good call,0.035,0.447,casual,0
gg well played team!,0.2,0.429,casual,0
wait for team,0.164,0.543,all_chat,0
you're useless,0.861,0.451,casual,1
nice play,0.169,0.214,pvp_combat,0
nice shot!,0.02,0.179,pvp_combat,0
get cancer,0.717,0.556,team_chat,1
watch out behind you,0.158,0.568,team_chat,0
need backup,0.137,0.335,team_chat,0
good call,0.174,0.579,team_chat,0
good luck have fun,0.128,0.676,post_game,0
you're useless,0.77,0.649,team_chat,1
end your life,0.879,0.852,competitive,1
good call,0.143,0.618,post_game,0
your family must be ashamed,0.711,0.562,team_chat,1
add me as friend,0.124,0.468,casual,0
reported,0.66,0.875,all_chat,1
you're useless,0.769,0.635,team_chat,1
nice play,0.07,0.389,team_chat,0
you're throwing the game,0.711,0.267,pvp_combat,1
nice play,0.173,0.269,pvp_combat,0
uninstall the game noob,0.951,0.371,team_chat,1
great teamwork guys,0.067,0.555,all_chat,0
gg well played team!,0.106,0.405,post_game,0
i hope you get banned,0.993,0.562,team_chat,1
stupid noob,0.737,0.583,post_game,1
you don't deserve to play,0.853,0.928,competitive,1
reported for being bad,0.853,0.14,casual,1
die in a fire,0.949,0.205,casual,1
nice kill,0.18,0.389,team_chat,0
almost had it,0.163,0.546,post_game,0
nice try!,0.035,0.307,casual,0
how are you still alive,0.758,0.347,pvp_combat,1
wp wp,0.151,0.541,team_chat,0
uninstall the game noob,0.808,0.475,casual,1
nice play,0.101,0.617,competitive,0
you don't deserve to play,0.811,0.405,team_chat,1
nice shot!,0.115,0.121,casual,0
kys noob,0.788,0.314,team_chat,1
too easy,0.284,0.055,pvp_combat,0
i'll kill you,0.485,0.393,casual,0
cover me please,0.157,0.349,casual,0
you're a waste of space,0.82,0.159,pvp_combat,1
watch out behind you,0.157,0.991,competitive,0
it's just a game,0.332,0.142,casual,0
ez noob,0.262,0.368,pvp_combat,0
great teamwork guys,0.003,0.581,team_chat,0
end your life,0.97,0.472,team_chat,1
nice play,0.009,0.586,post_game,0
delete this game idiot,0.956,0.643,team_chat,1
you're dead,0.208,0.199,pvp_combat,0
neck yourself,0.792,0.784,all_chat,1
